"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Female","Currency: 2021 PPP $","2021",2.459,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Female","Currency: U.S. dollars","2021",0.793,,,"Currency: AGO - Kwanza (AOA)","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Total","Currency: Local currency","2019",625.455,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2019",4.302,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Total","Currency: U.S. dollars","2019",1.714,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Male","Currency: Local currency","2019",678.914,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Male","Currency: 2021 PPP $","2019",4.669,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Male","Currency: U.S. dollars","2019",1.861,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Female","Currency: Local currency","2019",500.308,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Female","Currency: 2021 PPP $","2019",3.441,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Average hourly earnings of employees by sex","Female","Currency: U.S. dollars","2019",1.371,"Break in series",,"Currency: AGO - Kwanza (AOA) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Total","Currency: Local currency","2018",293,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Total","Currency: 2021 PPP $","2018",5.566,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Total","Currency: U.S. dollars","2018",2.713,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
"Albania","ES - Structure of Earnings Survey","Average hourly earnings of employees by sex","Male","Currency: Local currency","2018",303,,,"Currency: ALB - Lek (ALL)","Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
